id,name,url,program,degree,country,state,online,oncampus,department,created_at,updated_at,university_count,program_size,courses,admit_reqs,year_founded,notes,cost,visualization,machine learning,business,databases,programminglanguages,capstone,mapreduce,part-time,ethics
1,South Dakota State University,http://www.sdstate.edu/mathstat/grad/masters-in-data-science.cfm,Data Science,Masters,US,SD,FALSE,TRUE,Mathematics and Statistics,2015-01-10 04:13:13 UTC,2015-01-10 04:13:13 UTC,1,,,,,,,,,,,,,,,
2,Dakota State University,http://www.dsu.edu/msa/,Analytics,Masters,US,SD,TRUE,TRUE,Business and Information Systems,2015-01-10 04:13:13 UTC,2015-01-10 04:13:13 UTC,1,,,,,,,,,,,,,,,
3,Lewis University,http://www.lewisu.edu/academics/data-science/index.htm,Data Science,Masters,US,IL,TRUE,TRUE,Computer Science,2015-01-10 04:13:13 UTC,2015-01-10 04:13:13 UTC,1,,,,,,,,,,,,,,,
4,Saint Joseph's University,http://online.sju.edu/programs/business-intelligence-masters.asp,Business Intelligence & Analytics,Masters,US,PA,TRUE,TRUE,Business,2015-01-10 04:13:13 UTC,2015-01-10 04:13:13 UTC,1,,,,,,,,,,,,,,,
5,University Of Leeds,http://www.engineering.leeds.ac.uk/computing/postgraduate/masters-advanced-computer-science/,Advanced Computer Science(Data Analytics),Masters,GB,,FALSE,TRUE,Computer Science,2015-01-10 04:13:13 UTC,2015-01-10 04:13:13 UTC,1,,,,,,,,,,,,,,,
6,Arizona State University,http://wpcarey.asu.edu/undergraduate-degrees/data-analytics,Business Data Analytics,Bachelors,US,AZ,FALSE,TRUE,Business,2015-01-10 04:13:13 UTC,2015-01-10 04:13:13 UTC,2,,,,,,,,,,,,,,,
7,University Of Central Florida,http://dms.stat.ucf.edu/,Data Mining,Masters,US,FL,FALSE,TRUE,Statistics,2015-01-10 04:13:13 UTC,2015-01-10 04:13:13 UTC,1,,,,,,,,,,,,,,,
8,Hong Kong University of Science & Technology,http://www.rmbi.ust.hk/,Risk Management and Business Intelligence,Bachelors,HK,,FALSE,TRUE,,2015-01-10 04:13:13 UTC,2015-01-10 04:13:13 UTC,1,,,,,,,,,,,,,,,
9,University of Texas Dallas,https://jindal.utdallas.edu/academic-programs/masters-programs/ms-in-business-analytics/,Business Analytics,Masters,US,TX,FALSE,TRUE,Management,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
10,The Ohio State University,https://data-analytics.osu.edu/,Data Analytics,Bachelors,US,OH,FALSE,TRUE,Interdisciplinary,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
11,University of Rochester,http://www.rochester.edu/data-science/academics/index.html,Data Science,Bachelors,US,NY,FALSE,TRUE,Interdisciplinary,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
12,TU Dortmund,http://www.statistik.tu-dortmund.de/701.html,Data Analysis and Management,Bachelors,DE,,FALSE,TRUE,Statistics,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,2,,,,,,,,,,,,,,,
13,TU Dortmund,http://www.statistik.tu-dortmund.de/703.html,Data Science,Masters,DE,,FALSE,TRUE,Statistics,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,2,,,"economics, statistics, and marketing",,,,,,,,,,,,
14,Maastricht University,http://www.maastrichtuniversity.nl/web/Schools/DKE/TargetGroup/ProspectiveStudents/MastersProgrammes/ArtificialIntelligence.htm,Artificial Intelligence,Masters,NL,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,2,,"data management and systems modeling, optimization and simulation, time series analysis, data mining, statistical modeling. Electives in the Data Science cluster: Java programming, web-based application development, data management architectures, ",business fundamentals courses or statistics,,,,,,,,,,,,
15,University of Arkansas at Little Rock,http://ualr.edu/informationquality/,Information Quality Program,Masters,US,AR,FALSE,TRUE,Information Quality,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
16,Worcester Polytechnic Institute,http://www.wpi.edu/academics/datascience.html,Data Science,Masters,US,MA,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
17,University Of Colorado,http://leeds.colorado.edu/ms#msba_business_analytics,Business Analytics,Masters,US,CO,FALSE,TRUE,Business,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
18,Colorado Technical University,http://www.coloradotech.edu/degrees/doctorates/computer-science/big-data,Big Data Analytics,Doctorate,US,CO,TRUE,TRUE,Computer Science,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
19,Elmhurst College,http://public.elmhurst.edu/data_science,Data Science,Masters,US,IL,TRUE,FALSE,none,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
20,University of the Fraser Valley,http://www.ufv.ca/math/data-analysis/,Data Analysis,Certificate,CA,,FALSE,TRUE,Mathematics and Statistics,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
21,Queen's University,http://business.queensu.ca/grad_studies/mma/,Management Analytics,Masters,CA,,FALSE,TRUE,Business,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,67 per year,"systems track: databases, parallel computing, cloud computing, storage systems; analytics track: machine learning, web mining, information retrieval; capstone and electives and seminar",computer systems,2004,began in 2004 as MSIT degree in Very Large Information Systems,,,,,,,,,,
22,ENSAE Paris Tech,http://www.ensae.fr/formations-navhorizontale-172/statisticien-conomiste-navhorizontale-48/3me-anne-voies-de-spcialisation-formationsdiplome-96/data-science-cours-3a.html,Data Science Specialisation,Bachelors,FR,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
23,Telecom Paris Tech,http://www.telecom-paristech.fr/formation-continue/masteres-specialises/big-data.html,Big Data,Masters,FR,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,261 per year,"database management, data mining, data warehousing, business analytics, Java programming, economic analysis, professional writing, professional speaking, financial accounting, capstone, electives in hadoop and mapreduce, R, SAS, social media, econometrics, privacy","programming, statistics or databases",,length of program varies based on how much professional work experience,,,,,,,,,,
24,Aarhus University,http://icoa.au.dk/news/single/artikel/seeking-candidate-for-industrial-phd/,Industrial Phd In Big Data Analysis,Doctorate,DK,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,2,,,,,,,,,,,,,,,
25,University Of Alberta,https://www.cs.ualberta.ca/graduate-students/msc-program-requirements/statistical-machine-learning,Statistical Machine Learning,Masters,CA,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
26,Imperial College London,http://www3.imperial.ac.uk/computing/teaching/pg/mcsml,Computing (Machine Learning),Masters,GB,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
27,Deakin University,http://www.deakin.edu.au/future-students/courses/course.php?course=M760&stutype=local&keywords=information+systems,Business Analytics,Masters,AU,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
28,Macquarie University,http://courses.mq.edu.au/postgraduate/master/master-of-data-science,Data Science,Masters,AU,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
29,"National University Of Ireland, Galway",http://www.nuigalway.ie/courses/taught-postgraduate-courses/information-systems-management.html,Information Systems Management,Masters,IE,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
30,Mykolas Romeris University,https://stdb.mruni.eu/studiju_programos_aprasas.php?id=2481&l=en,Business Informatics,Masters,LT,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
