StreetNumber,StreetName,StreetNamePostType,Directional,strLocation,dtTime,streetID,VehicleName,Latitude,Longitude
215,COMSTOCK ,AVE, ,215 COMSTOCK AVE & HARRISON S,4/14/2016 8:57,12578124,DP2,-76.1301402352,43.0441587096
700,MIDLAND ,AVE, ,700-06 MIDLAND AVE & CASTLE ST W,4/15/2016 9:01,12573231,DP1,-76.1540737439,43.0313144054
1604,GRANT ,BLVD, ,1604-08 GRANT BLVD & WOODRUFF AVE,4/15/2016 13:03,12580306,DP1,-76.1382844424,43.0723562116
261,HOPPER ,RD, ,261 HOPPER RD,4/18/2016 10:39,12571704,DP2,-76.1596807404,42.9980280969
1821,VALLEY ,DR, ,1821 VALLEY DR & CHAFFEE AVE E,4/18/2016 10:52,12571710,DP2,-76.1524819382,42.9978369009
242,ACADEMY ,PL, ,242 ACADEMY PL,4/19/2016 10:47,12576495,DP2,-76.151408137,42.9942158975
112,LYDELL ,ST, ,112 LYDELL ST,4/19/2016 13:34,12573032,DP1,-76.1786281501,43.0375379028
225,LONG MEADOW,DR, ,225 LONG MEADOW DR & HILTON R,4/21/2016 13:28,12564378,DP2,-76.1466706378,42.9904738949
101,BALLARD ,AVE, ,101 BALLARD AVE & CASTLE ST W,4/22/2016 9:39,12573229,DP1,-76.1563381452,43.0309352012
200,WEST ,ST,S ,200 WEST ST S & FAYETTE ST W,4/23/2016 8:46,12573718,DP1,-76.1594019483,43.0486302068
109,PARRISH ,LN, ,109 PARRISH LN,4/25/2016 10:49,12564395,DP2,-76.1425724336,42.9860938987
5423,SALINA ,ST,S ,5423 SALINA ST S & SEARLWYN RD,4/25/2016 11:33,12564412,DP2,-76.1437672379,42.9914848954
117,EDNA ,RD, ,117 EDNA RD,4/28/2016 10:49,12564393,DP2,-76.1411089343,42.9851248997
111,ONONDAGA ,AVE, ,111 ONONDAGA AVE,4/30/2016 9:44,12573252,DP2,-76.1646817514,43.0342369067
397,KENNEDY ,ST,W ,397 KENNEDY ST W & SOUTH AVE,4/30/2016 13:00,12573187,DP2,-76.1579891409,43.027565101
193,MAPLEWOOD ,AVE, ,193 MAPLEWOOD AVE,5/3/2016 9:38,12564408,DP2,-76.1404409381,42.9882181951
305,MAPLEWOOD ,AVE, ,305 MAPLEWOOD AVE & EDGEWOOD,5/3/2016 10:02,12564417,DP2,-76.1373262364,42.9889223984
169,BRAMPTON ,RD, ,169 BRAMPTON RD,5/4/2016 10:44,12576521,DP2,-76.1410276368,42.9924552003
101,TRINITY ,PL, ,101 TRINITY PL & GREENWOOD AV,5/6/2016 14:12,12577632,DP2,-76.1216481374,43.0399261043
132,MONTICELLO ,DR,S ,132 MONTICELLO DR S,5/10/2016 11:15,12576560,DP2,-76.1388032374,42.9991605962
739,OSTROM ,AVE, ,739 OSTROM AVE & CLARENDON ST,5/12/2016 9:44,12577582,DP1,-76.1281142378,43.0379736043
916,LANCASTER ,AVE, ,916 LANCASTER AVE,5/12/2016 9:55,12577608,DP1,-76.1228856296,43.0336609038
137,MONTICELLO ,DR,N ,137 MONTICELLO DR N,5/12/2016 12:26,12576622,DP2,-76.1386996347,43.0012650997
421,MONTICELLO ,DR,N ,421-23 MONTICELLO DR N,5/16/2016 9:33,12576646,DP2,-76.1386517366,43.005000697
205,ORLANDO ,AVE, ,205 ORLANDO AVE & SENECA DR,5/17/2016 9:38,12576620,DP1,-76.1401137357,43.0021081015
422,SPENCER ,ST, ,422 SPENCER ST & VAN RENSSELA,5/19/2016 10:03,12575051,DP1,-76.1650689523,43.0569542083
235,EVALEEN ,AVE, ,235 EVALEEN AVE,5/20/2016 10:29,12576684,DP1,-76.1512339447,43.0090817035
101,GIRARD ,AVE, ,101 GIRARD AVE & ATLANTIC AVE,5/20/2016 11:26,12571949,DP1,-76.1525084385,43.0104074031
400,HUNT ,AVE, ,400 HUNT AVE & MARGUERITE AVE,5/23/2016 14:49,12572098,DP1,-76.1556154415,43.0195797004
614,BARNES ,AVE, ,614 BARNES AVE,5/24/2016 10:24,12571754,DP1,-76.1590744405,43.0064818982
100,MARVIN ,RD, ,100 MARVIN RD,5/24/2016 14:47,12571930,DP1,-76.1585029413,43.0118459029
136,CAMP ,AVE, ,136 CAMP AVE,5/26/2016 9:55,12571771,DP1,-76.1575289429,43.0079436983
148,OAKDALE ,DR, ,148 OAKDALE DR & MAINS AVE,5/27/2016 8:46,12571770,DP1,-76.1575721429,43.0071365978
503,KIRK PARK,DR, ,503 KIRK PARK DR SYRACUSE 13205,6/1/2016 10:23,12572106,DP1,-76.1540444408,43.0193525997
127,PLEASANTVIEW ,AVE, ,127 PLEASANTVIEW AVE & BRONX,6/1/2016 13:47,12580480,DP1,-76.1336892363,43.0733176137
1600,GEDDES ,ST,S ,1600 GEDDES ST S & GRANT AVE,6/17/2016 10:20,12572966,DP1,-76.175362253,43.0316042046
214,ELLIOTT ,ST, ,214 ELLIOTT ST,6/20/2016 8:47,12573074,DP1,-76.1710232465,43.0350047074
175,SEELEY ,AVE, ,175 SEELEY AVE,6/21/2016 14:01,12576577,DP2,-76.1462192343,43.0013803983
340,VINCENT ,ST, ,340 VINCENT ST,6/22/2016 11:14,12576980,DP2,-76.1292232349,43.0214674055
106,SALISBURY ,RD, ,106 SALISBURY RD SYRACUSE 13219,6/25/2016 9:05,12572689,DP2,-76.1901901595,43.0425436053
709,COLVIN ,ST,W ,709 COLVIN ST W & HATCH ST,7/8/2016 14:06,12572149,DP2,-76.1536506463,43.0231099056
114,HEADSON ,DR, ,114-22 HEADSON DR                                 ,7/28/2016 10:18,12579666,DP1,-76.0859236208,43.0549456096
860,IRVING ,AVE, ,860 IRVING AVE SYRACUSE 13210                     ,7/31/2016 8:47,12577490,DP2,-76.1383057414,43.038330704
174,VALLEY VIEW,DR, ,174 VALLEY VIEW DR                                ,8/3/2016 11:06,12571923,DP2,-76.1596891397,43.009750702
1667,VALLEY ,DR, ,1667 VALLEY DR & ACADEMY ST                       ,8/11/2016 8:35,12571744,DP2,-76.1529997451,43.0000635966
210,CRIPPEN ,AVE, ,210 CRIPPEN AVE                                   ,8/18/2016 10:42,12576585,DP2,-76.144611241,43.0038186994
212,CRIPPEN ,AVE, ,212 CRIPPEN AVE                                   ,8/18/2016 10:48,12576585,DP2,-76.1449244386,43.003735898
305,LAFAYETTE ,RD, ,305 LAFAYETTE RD                                  ,8/24/2016 7:00,12576654,DP2,-76.1306516371,42.994656197
252,LAFAYETTE ,RD, ,252 LAFAYETTE RD                                  ,8/24/2016 7:04,12576654,DP2,-76.1307074314,42.9948690983
1283,CANAL ,ST, ,1283 CANAL ST SYRACUSE 13210                      ,9/2/2016 4:45,13001865,DP2,-76.1065041317,43.0553282099
403,JOHN ,ST, ,403 JOHN ST                                       ,9/15/2016 7:27,12580178,DP2,-76.1455519388,43.0663092085
114,FIRST NORTH,ST, ,114 FIRST NORTH ST                                ,9/16/2016 8:00,12580184,DP2,-76.1441714438,43.0673726104
499,OSWEGO ,BLVD, ,499 OSWEGO BLVD                                   ,9/20/2016 6:55,13001158,DP2,-76.1541839492,43.0545237081
100,GEDDES ,ST,N ,100 GEDDES ST N & ERIE BLVD W                     ,9/26/2016 6:00,13002381,DP2,-76.1696954467,43.048192907
210,CASTLE ,ST,W ,210-12 CASTLE ST W,4/14/2016 10:31,12577257,DP1,-76.1512162389,43.0325234066
309,KRAMER ,DR, ,309 KRAMER DR,4/16/2016 9:18,12571739,DP2,-76.1541102424,43.0009410996
127,CHAFFEE ,AVE,E ,127 CHAFFEE AVE E,4/18/2016 13:16,12576516,DP2,-76.1498544378,42.9977244011
2247,VALLEY ,DR, ,2247 VALLEY DR & CRAFTON AVE,4/19/2016 9:20,12564371,DP2,-76.1521217407,42.9919504
218,WARRINGTON ,RD,W ,218 WARRINGTON RD W,4/21/2016 9:16,12576509,DP2,-76.1464374351,42.9943919007
122,WEST ,ST,S ,122 WEST ST S & FAYETTE ST W,4/23/2016 8:43,12573718,DP1,-76.1595454451,43.0486131059
650,WATER ,ST,E ,650 WATER ST E & ALMOND ST,4/23/2016 10:18,12577993,DP2,-76.1421236443,43.0500894083
4852,SALINA ,ST,S ,4852 SALINA ST S,4/25/2016 9:10,12576554,DP2,-76.1430626353,42.9989816961
4953,SALINA ,ST,S ,4953 SALINA ST S,4/25/2016 9:21,13002104,DP2,-76.1434177393,42.9964976976
