block,streetName,streetType,streetDirection,overall,crack,patch,length,width,dateRated,dateLastOverlay,flushOil,class,pavement,streetID
100,MONTICELLO,DR,S,5,3,4,561,26,1/12,1995,O,Local,3,12576560
1400,SALINA,ST,S,6,3,3,475,40,2/13,2002,F,PA,6,12577260
200,ADAMS,ST,W,6,3,3,587,56,4/13,2000,F,Local,6,13020291
2000,ERIE,BLVD,E,10,5,5,725,56,11/13,2013,F,PA,6,12578796
4300,SALINA,ST,S,7,3,4,560,40,1/12,2001,F,MA,6,13002117
800,BRIGHTON,AVE,E,7,4,3,1060,82,1/12,2005,F,MA,4,13002032
100,LYNHURST,AVE,W,6,3,4,821,27,3/07,1991,O,Local,3,12576768
100,TAYLOR,ST,E,8,4,5,414,27,2/06,2000,F,Local,6,12577379
1600,GENESEE,ST,W,8,4,4,870,40,2/06,2001,F,PA,6,12572836
1800,GENESEE,ST,W,7,3,5,623,40,2/06,2001,F,PA,6,12572809
2800,GENESEE,ST,E,8,4,5,517,40,3/06,2003,F,PA,6,12578744
300,JEFFERSON,ST,W,10,5,5,885,36,10/05,2005,F,Local,6,12573740
400,STATE,ST,N,6,3,4,417,60,2/06,1991,F,MA,6,12577947
800,ERIE,BLVD,E,8,4,5,903,56,12/06,2004,F,PA,6,12578036
100,FAYETTE,ST,W,6,3,3,350,37,4/05,1999,F,MA,6,12573751
200,EDWARDS,AVE,N,8,4,4,1027,29,2/05,1999,O,Local,3,12581112
200,LOWELL,AVE,N,8,4,4,528,36,3/03,2000,F,Local,6,12573471
200,MCBRIDE,ST,N,10,5,5,405,30,11/04,2004,F,Local,6,12577934
300,TAYLOR,ST,E,8,4,4,495,27,3/04,2000,F,Local,6,13002517
1100,TOWNSEND,ST,N,8,5,4,539,30,1/02,1999,F,Local,6,12575175
200,STATE,ST,N,6,3,4,378,60,1/02,1991,F,Local,6,12577872
600,MIDLER,AVE,S,7,4,4,1650,40,1/02,1987,F,Local,6,13011157
1300,COLVIN,ST,E,6,4,3,2012,36,5/14,1999,F,MA,6,12577017
700,GEDDES,ST,S,6,3,3,345,60,6/14,2002,F,MA,6,12573107
900,COLVIN,ST,E,5,4,2,343,36,3/15,1987,F,MA,6,12577495
1300,GENESEE,ST,E,6,3,3,219,42,12/99,1988,F,PA,6,12578148
400,WARREN,ST,S,5,4,2,570,38,2/00,1988,F,Local,6,12577678
100,CHAFFEE,AVE,E,5,3,2,1064,27,4/15,1991,O,Local,3,12576518
200,GLEN,AVE,E,7,3,5,441,25,6/15,1993,O,Local,3,12576635
3100,SALINA,ST,S,5,3,3,300,40,6/15,2008,F,MA,6,12576844
600,RAYNOR,AVE,E,3,1,2,280,36,4/14,1992,F,Local,6,12577430
1100,STATE,ST,S,5,3,2,417,40,3/09,1987,F,PA,6,12577398
1500,COLVIN,ST,W,8,5,4,279,34,1/10,2009,F,Local,6,12572057
