song_title,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Mask Off,Future,0.0102,0.833,204600,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,4.0,0.28600000000000003
Redbone,Childish Gambino,0.19899999999999998,0.743,326933,0.359,0.00611,1,0.13699999999999998,-10.401,1,0.0794,160.083,4.0,0.588
Xanny Family,Future,0.0344,0.838,185707,0.41200000000000003,0.000234,2,0.159,-7.148,1,0.289,75.044,4.0,0.17300000000000001
Master Of None,Beach House,0.604,0.494,199413,0.33799999999999997,0.51,5,0.0922,-15.235999999999999,1,0.0261,86.46799999999999,4.0,0.23
Parallel Lines,Junior Boys,0.18,0.6779999999999999,392893,0.561,0.512,5,0.439,-11.648,0,0.0694,174.00400000000002,4.0,0.904
Sneakin’,Drake,0.00479,0.804,251333,0.56,0.0,8,0.16399999999999998,-6.682,1,0.185,85.023,4.0,0.264
Childs Play,Drake,0.0145,0.7390000000000001,241400,0.47200000000000003,7.27e-06,1,0.207,-11.204,1,0.156,80.03,4.0,0.308
Gyöngyhajú lány,Omega,0.0202,0.266,349667,0.348,0.664,10,0.16,-11.609000000000002,0,0.0371,144.154,4.0,0.39299999999999996
I've Seen Footage,Death Grips,0.0481,0.603,202853,0.9440000000000001,0.0,11,0.342,-3.6260000000000003,0,0.34700000000000003,130.035,4.0,0.39799999999999996
Digital Animal,Honey Claws,0.0020800000000000003,0.836,226840,0.603,0.0,7,0.5710000000000001,-7.792000000000001,1,0.237,99.994,4.0,0.386
Subways - In Flagranti Extended Edit,The Avalanches,0.0572,0.525,358187,0.855,0.0143,5,0.649,-7.372000000000001,0,0.0548,111.95100000000001,3.0,0.524
Donme Dolap - Baris K Edit,Modern Folk Üçlüsü,0.0915,0.753,324880,0.748,0.0034799999999999996,10,0.212,-8.62,1,0.0494,104.322,4.0,0.642
Cemalim,Erkin Koray,0.253,0.603,356973,0.434,0.0619,0,0.10800000000000001,-11.062000000000001,1,0.0342,127.681,4.0,0.381
One Night,Lil Yachty,0.366,0.762,243270,0.47600000000000003,0.0,0,0.10300000000000001,-12.686,1,0.114,130.007,4.0,0.36700000000000005
Oh lala,PNL,0.44,0.662,247288,0.603,0.0,9,0.0972,-8.317,0,0.0793,125.01100000000001,4.0,0.35100000000000003
